iso3c,country,emptying_method,population_2017,population_emptying_method,count_pits_septics,emptying_demand,urban_demand,rural_demand
MUS,Mauritius,mechanized,1265137.0977841427,722242.2882947129,202287.51539061608,0.5708806496621615,0.27267659581499853,0.7273234041850015
MYT,Mayotte,mechanized,NA,0,0,NA,NA,NA
MOZ,Mozambique,mechanized,29668814.879078306,3871742.1453944114,798471.8399274102,0.13049871257664106,0.9015090891660513,0.09849091083394863
NAM,Namibia,mechanized,2533795.1763287843,154172.18382441055,31057.567974044803,0.06084634830183496,0.38782682522683315,0.6121731747731668
NER,Niger,mechanized,21477381.84057851,1993897.3397108524,241748.1446252432,0.09283707644214166,0.8061459453988503,0.19385405460114968
NGA,Nigeria,mechanized,190886295.59758583,8652232.918995595,1338835.952241502,0.0453266322336501,0.7700470884402356,0.22995291155976436
REU,Réunion,mechanized,876561.9461389979,0,0,0,NA,NA
RWA,Rwanda,mechanized,12208457.460714782,2739298.8121898165,546396.2299490052,0.22437714355024144,0.3536407498918556,0.6463592501081443
SHN,Saint Helena,mechanized,4048.999790356394,0,0,0,NA,NA
STP,Sao Tome and Principe,mechanized,204327.32937399784,49693.30807400645,11881.48599639692,0.24320441238209756,0.8081677235705035,0.19183227642949657
SEN,Senegal,mechanized,15850567.010644754,5411265.774104926,542442.6875515996,0.3413925678791734,0.6537957458315161,0.3462042541684839
SYC,Seychelles,mechanized,94736.9972789337,0,0,0,NA,NA
SLE,Sierra Leone,mechanized,7557213.635929482,812075.5934336127,76173.55497403779,0.10745701161241995,0.8045856933777457,0.19541430662225429
SOM,Somalia,mechanized,14742509.838527326,2595492.6944741122,432809.0553921909,0.17605500846885538,0.9162553711022731,0.08374462889772696
ZAF,South Africa,mechanized,56717190.837702796,10779501.417623317,3086040.0110225133,0.19005704017445157,0.2418437600971313,0.7581562399028687
SSD,South Sudan,mechanized,12575720.023801042,94097.65264438259,12069.829328945483,0.007482486288362942,0.8103086810285844,0.18969131897141558
TGO,Togo,mechanized,7797694.3391137635,926672.0994329666,117191.29134880929,0.1188392439012025,0.9254224216111551,0.07457757838884492
UGA,Uganda,mechanized,42863017.97041767,3361647.592611302,462115.6182027379,0.07842769249079419,0.775257034024163,0.22474296597583696
TZA,United Republic of Tanzania,mechanized,57310008.8286023,8779266.468944183,1309227.2715169499,0.15318906153374423,0.7657755761266024,0.2342244238733975
ZMB,Zambia,mechanized,17094116.566256963,1913750.49785408,256321.70369578843,0.11195375265146722,0.9583236399796815,0.04167636002031852
ZWE,Zimbabwe,mechanized,16529889.786516318,1008775.5726467145,172661.0059985607,0.06102736229188824,0.5918571133000087,0.4081428866999914
AFG,Afghanistan,non-mechanized,35530085.16530559,14544444.023260664,1599720.4497615816,0.4093557320673979,0.3082021489637636,0.6917978510362365
BGD,Bangladesh,non-mechanized,164669683.37243107,95629448.12154791,14713956.490865482,0.5807349972566848,0.30355443908287366,0.6964455609171264
BTN,Bhutan,non-mechanized,807610.0210778456,147934.8533263796,26461.835956347997,0.18317609918824937,0.42032194932924355,0.5796780506707564
IND,India,non-mechanized,1339180290.6450965,550029321.6929336,107852307.86455937,0.41072089063376144,0.25751541609656725,0.7424845839034329
